id;start_date;end_date;language
1;2019-05-14T11:42:19;2019-05-14T08:58:34;FRENCH
2;2019-05-14T05:53:29;2019-05-14T05:56:30;FRENCH
3;2019-05-13T19:18:48;2019-05-14T02:32:55;FRENCH
4;2019-05-14T04:09:19;2019-05-14T01:42:53;FRENCH
5;2019-05-13T22:29:52;2019-05-14T04:52:19;FRENCH
6;2019-05-13T20:14:18;2019-05-14T13:00:22;FRENCH
7;2019-05-14T12:48:59;2019-05-14T15:32:53;FRENCH
8;2019-05-14T01:34:29;2019-05-14T09:53:22;FRENCH
9;2019-05-14T08:43:02;2019-05-13T21:41:23;FRENCH
10;2019-05-14T15:07:50;2019-05-14T01:20:15;FRENCH
